nome,slug,url_pagina,data_lancamento,status,status_indice,categoria_coleta,no_recorte,resultados,urls_resultados,causa_falha,organizacao,pais,unidades_massa,oneliner
BlueBon,bluebon,https://www.nanosats.eu/sat/bluebon.html,2025-01-14,"Operational (Official SatRev website, last checked 2025-04-20)",Operational,A - sensoriamento remoto,sim,"First Contact:
Communication was established during the first pass over SatRev’s ground stations.
Telemetry confirmed:
Successful deployment of HDRMs.
Platform performance as designed, verifying both ground and space segments.
Current Status:
Nominal LEOPs (Launch and Early Orbit Phase).
Subsystem telemetry with every pass shows successful communication, energy harvesting, and modules functionality.
Next Steps: Commissioning of hi-throughput radio, ADCS, and TLE refinement based on onboard sensors.",https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/satrev-s-a_satrev-spacex-cubesat-activity-7303782397471281152-T7gd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,TelePIX,South Korea,6U,Delivering 3.8-meter optical observation satellite imagery data.
InnoCube,innocube,https://www.nanosats.eu/sat/innocube.html,2025-01-14,Operational (Post by project manager on LinkedIn after launch and many SatNOGS reports with data),Operational,—,não,"A year in orbit, 2026-01-12.",https://www.tu.berlin/news/pressemitteilung/ein-jahr-im-orbit,,University of Würzburg,Germany,3U,Demonstrate structure that can store energy and ultra-broadband radio that does not require internal cabling. Using a fully wireless data bus for all subsystems
LIME,lime,https://www.nanosats.eu/sat/lime.html,2025-01-14,Operational (News on 2025-04-03),Operational,—,não,"6-months of nominal on-orbit operation of its high-performance, AMD Versal-based SP240 On-Board Computer and integrated spacecraft.",https://www.linkedin.com/posts/novispace-inc_spacecompute-edgecompute-space-activity-7350908957097381890-Z_o9?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,NOVI,US,3U,Characterizing the availability of Iridium short burst data links in orbit.
OTP-2,otp-2,https://www.nanosats.eu/sat/otp-2.html,2025-03-15,"Operational (Official LinkedIn post and SatNOGS reports, last checked 2025-04-20)",Operational,A(fraco) - câmera sem alvo declarado,não,"2024-02-09, announced the suspension of the active phase of our first on orbit mission. Barry 1 was launched on November 11, 2023, and has been in orbit since then. It was designed to test our Scalable Compute Platform (SCP) and its ability to aggregate data from multiple sensors and process that data in real time. We had ongoing power-system issues on the bus through LEOP (Launch and Early Orbit Phase), and after two months of operations, towards the end of LEOP, we lost communication with the satellite. Rogue performed some testing of the SCP and never had the opportunity to test the IVO drive",https://rogue.space/suspension_of_barry1_operations/,,Rogue Space Systems,US,8U,Demonstrate orbit raising and lowering capabilities and test two disparate experimental thruster systems.
PANDORE,pandore,https://www.nanosats.eu/sat/pandore.html,2025-03-15,Operational (LinkedIn post on 2025-04-16),Operational,—,não,"+5 months in orbit for SOAP and PANDORE… And everything is going according to plan! Since their launch, our two satellites have successfully completed each stage:
Stabilized orbit
In-flight software updates
Initial mission tests
First payload data acquired",https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,U-Space,France,12U,"First space system fully designed, built, and operated by the company."
SOAP,soap,https://www.nanosats.eu/sat/soap.html,2025-03-15,Operational (LinkedIn post on 2025-04-16),Operational,—,não,"+5 months in orbit for SOAP and PANDORE… And everything is going according to plan! Since their launch, our two satellites have successfully completed each stage:
Stabilized orbit
In-flight software updates
Initial mission tests
First payload data acquired",https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM | https://www.linkedin.com/posts/u-space-nanosats_uspace-soap-pandore-activity-7357041550255644672-schp?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAt6RjABfKWEquksacZ3EVEQFZa3Fpq53uM,,U-Space,France,12U,In-orbit demonstration (IOD) that will test several technologies.
JACK 001,jack,https://www.nanosats.eu/sat/jack.html,2025-06-23,,"Unknown, ?, Was operational",A - sensoriamento remoto,sim,"All 12 Nuri-deployed cube satellites establish ground communication, 2025-12-08.",https://www.koreaherald.com/article/10631608,,Cosmoworks,South Korea,3U,"An Earth observation satellite constellation
."
Kestrel-0A,kestrel-0a,https://www.nanosats.eu/sat/kestrel-0a.html,2025-06-26,Operational (News about commissioning on 2025-09-23),Operational,—,não,"Kestrel-0A is progressing well, with ongoing contact and early-stage mission milestones being achieved.",https://news.satnews.com/2025/09/23/hawkeye-360s-cluster-12-has-achieved-full-operational-capability/,,HawkEye 360,,8U,Testing a new satellite form factor with Iridium transceiver.
LIDE,lide,https://www.nanosats.eu/sat/lide.html,2025-07-23,Operational (News about completing initial tests on 2026-01-11),Operational,—,não,"Tyvak International’s LIDE satellite completes initial on-orbit 5G tests, 2026-01-12.",https://spacenews.com/tyvak-internationals-lide-satellite-completes-initial-on-orbit-5g-tests/,,Tyvak,Italy,12U,"LIDE involves designing, manufacturing, and testing a 12U spacecraft and two dedicated ground terminals for a live demonstration."
ThumbSat 1,thumbsat-1,https://www.nanosats.eu/sat/thumbsat-1.html,2025-08-19,Operational? (Proof on the website),Operational,—,não,"Perfect orbital insertion at 07:46:00 UTC on 19 Aug 2025 via CAS Space Lijian-1 Y10.
First confirmed communication success: expert-validated ThumbSat transmission captured by the distributed ground network.
Operated at the 10 cm radar detection threshold, near the edge of detectability for ground-based tracking.
Orbital confirmation enabled generation of accurate TLE sets for continued predictions.
Zero safety or compliance incidents; all transmissions within license terms.
Strong public participation and positive feedback across program events.
100% subsystem validation.",https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission,,ThumbSat,,100 g,Carries a mirror-selfie payload.
ThumbSat 2,thumbsat-2,https://www.nanosats.eu/sat/thumbsat-2.html,2025-08-19,Operational? (Proof on the website),Operational,—,não,"Perfect orbital insertion at 07:46:00 UTC on 19 Aug 2025 via CAS Space Lijian-1 Y10.
First confirmed communication success: expert-validated ThumbSat transmission captured by the distributed ground network.
Operated at the 10 cm radar detection threshold, near the edge of detectability for ground-based tracking.
Orbital confirmation enabled generation of accurate TLE sets for continued predictions.
Zero safety or compliance incidents; all transmissions within license terms.
Strong public participation and positive feedback across program events.
100% subsystem validation.",https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission | https://www.thumbsat.com/ts1-ts2-mission,,ThumbSat,Mexico,100 g,Carries an artistic payload.
BEE-1000,bee-1000,https://www.nanosats.eu/sat/bee-1000.html,2025-11-26,"Operational (Official news from 2025-12-08 and Libre Space forums, last checked 2025-12-23)",Operational,—,não,"All 12 Nuri-deployed cube satellites establish ground communication, 2025-12-08.",https://www.koreaherald.com/article/10631608,,Space Lintech,,6U,Verify the technology to make medicines in space.
COSMIC,cosmic,https://www.nanosats.eu/sat/cosmic.html,2025-11-26,"Operational (Official press release on 2025-12-02 and Libre Space forums, last checked 2025-12-23)",Operational,—,não,"All 12 Nuri-deployed cube satellites establish ground communication, 2025-12-08.",https://www.koreaherald.com/article/10631608,,Spacerotech,South Korea,3U,Demonstrates a device that disposes of satellites that have expired.
EEE Tester-1,e3-tester-kari-1,https://www.nanosats.eu/sat/e3-tester-kari-1.html,2025-11-26,"Operational (Official news from 2025-12-08 and Libre Space forums, last checked 2025-12-23)",Operational,—,não,"All 12 Nuri-deployed cube satellites establish ground communication, 2025-12-08.",https://www.koreaherald.com/article/10631608,,ETRI (Electronics and Telecommunications Research Institute),South Korea,12U,Contains nine types of components developed in Korea and memory semiconductors.
